event_id,user_id,title_id,watch_date,watch_hour,device_type,minutes_watched,completed,watch_year,watch_month,is_peak_hour
1,1016,184,2024-02-03,21,Web,85,0,2024,2024-02,True
2,911,427,2022-03-04,0,Web,155,1,2022,2022-03,False
3,145,500,2022-02-15,20,Mobile,84,1,2022,2022-02,True
4,238,335,2024-07-21,14,TV,173,1,2024,2024-07,False
5,1191,51,2022-02-23,14,Mobile,163,1,2022,2022-02,False
6,1139,447,2023-08-02,0,TV,51,0,2023,2023-08,False
7,1110,409,2024-07-04,17,TV,34,0,2024,2024-07,False
8,313,279,2023-07-28,1,Mobile,49,0,2023,2023-07,False
9,1020,170,2022-04-08,8,Mobile,32,0,2022,2022-04,False
10,122,356,2022-10-04,15,Mobile,138,1,2022,2022-10,False
11,289,308,2022-06-21,22,Tablet,25,0,2022,2022-06,True
12,998,386,2022-03-26,11,Mobile,116,1,2022,2022-03,False
13,1234,323,2023-01-21,16,Mobile,84,1,2023,2023-01,False
14,1311,413,2023-01-03,21,Mobile,56,0,2023,2023-01,True
15,1964,484,2023-12-18,21,TV,169,1,2023,2023-12,True
16,1709,376,2024-06-15,10,Tablet,67,0,2024,2024-06,False
17,760,159,2023-09-25,20,Web,14,0,2023,2023-09,True
18,1566,452,2023-08-23,23,TV,56,0,2023,2023-08,True
19,192,414,2024-05-29,9,Mobile,30,0,2024,2024-05,False
20,1715,237,2022-10-16,0,Mobile,93,1,2022,2022-10,False
21,774,30,2023-06-08,3,Mobile,169,1,2023,2023-06,False
22,1521,477,2023-10-12,22,TV,5,0,2023,2023-10,True
23,1942,271,2024-06-01,17,TV,42,0,2024,2024-06,False
24,1407,201,2023-01-20,5,TV,100,1,2023,2023-01,False
25,1841,304,2023-07-03,16,Web,52,1,2023,2023-07,False
26,21,36,2022-09-02,4,Mobile,146,1,2022,2022-09,False
27,342,413,2022-12-11,21,Mobile,100,1,2022,2022-12,True
28,1253,92,2024-03-21,11,TV,5,0,2024,2024-03,False
29,1082,129,2024-07-13,20,Web,83,1,2024,2024-07,True
30,241,280,2022-07-03,15,TV,163,1,2022,2022-07,False
31,1437,333,2024-12-21,5,Tablet,102,1,2024,2024-12,False
32,118,8,2023-10-03,14,Mobile,43,0,2023,2023-10,False
33,1982,291,2024-12-19,16,Mobile,72,0,2024,2024-12,False
34,313,79,2024-03-14,8,Mobile,14,0,2024,2024-03,False
35,891,478,2022-05-21,13,Mobile,103,1,2022,2022-05,False
36,1647,188,2022-03-09,14,Mobile,111,1,2022,2022-03,False
37,1029,246,2024-09-24,1,TV,165,1,2024,2024-09,False
38,1488,313,2024-02-01,10,TV,86,1,2024,2024-02,False
39,1408,79,2024-08-06,17,Mobile,18,0,2024,2024-08,False
40,1898,83,2022-01-13,4,Tablet,43,0,2022,2022-01,False
41,928,480,2022-06-23,3,Mobile,53,0,2022,2022-06,False
42,1958,288,2024-06-07,0,Tablet,26,0,2024,2024-06,False
43,1034,114,2024-07-16,16,Mobile,32,0,2024,2024-07,False
44,1787,332,2022-11-01,15,Mobile,83,0,2022,2022-11,False
45,1466,447,2024-12-18,0,TV,76,1,2024,2024-12,False
46,266,382,2022-06-18,14,Mobile,127,1,2022,2022-06,False
47,1288,201,2022-12-01,9,TV,45,0,2022,2022-12,False
48,1757,331,2022-05-23,12,Web,18,0,2022,2022-05,False
49,257,448,2023-09-16,15,TV,91,1,2023,2023-09,False
50,1678,126,2023-04-23,10,Web,60,0,2023,2023-04,False
51,211,396,2023-10-23,9,Mobile,136,1,2023,2023-10,False
52,1743,499,2022-11-12,12,TV,82,1,2022,2022-11,False
53,1578,173,2023-08-01,22,TV,133,1,2023,2023-08,True
54,304,445,2023-05-29,2,Mobile,126,1,2023,2023-05,False
55,1453,12,2022-11-07,8,Web,39,0,2022,2022-11,False
56,234,187,2024-07-14,16,TV,117,1,2024,2024-07,False
57,1137,139,2024-07-30,11,Mobile,151,1,2024,2024-07,False
58,1848,15,2022-04-25,20,Tablet,46,0,2022,2022-04,True
59,412,302,2022-11-19,6,Mobile,153,1,2022,2022-11,False
60,348,265,2022-10-13,2,Web,114,1,2022,2022-10,False
61,846,190,2022-10-31,5,TV,46,0,2022,2022-10,False
62,738,433,2022-05-05,18,TV,158,1,2022,2022-05,True
63,97,125,2023-03-01,14,Web,39,0,2023,2023-03,False
64,912,411,2023-11-29,10,Web,31,0,2023,2023-11,False
65,520,318,2023-02-13,5,Mobile,68,0,2023,2023-02,False
66,249,449,2023-11-14,18,Mobile,160,1,2023,2023-11,True
67,553,4,2022-03-19,7,TV,46,0,2022,2022-03,False
68,42,485,2024-07-18,12,TV,85,1,2024,2024-07,False
