event_id,user_id,title_id,watch_date,watch_hour,device_type,minutes_watched,completed
1,1016,184,2024-02-03,21,Web,85,0
2,911,427,2022-03-04,0,Web,155,1
3,145,500,2022-02-15,20,Mobile,84,1
4,238,335,2024-07-21,14,TV,173,1
5,1191,51,2022-02-23,14,Mobile,163,1
6,1139,447,2023-08-02,0,TV,51,0
7,1110,409,2024-07-04,17,TV,34,0
8,313,279,2023-07-28,1,Mobile,49,0
9,1020,170,2022-04-08,8,Mobile,32,0
10,122,356,2022-10-04,15,Mobile,138,1
11,289,308,2022-06-21,22,Tablet,25,0
12,998,386,2022-03-26,11,Mobile,116,1
13,1234,323,2023-01-21,16,Mobile,84,1
14,1311,413,2023-01-03,21,Mobile,56,0
15,1964,484,2023-12-18,21,TV,169,1
16,1709,376,2024-06-15,10,Tablet,67,0
17,760,159,2023-09-25,20,Web,14,0
18,1566,452,2023-08-23,23,TV,56,0
19,192,414,2024-05-29,9,Mobile,30,0
20,1715,237,2022-10-16,0,Mobile,93,1
21,774,30,2023-06-08,3,Mobile,169,1
22,1521,477,2023-10-12,22,TV,5,0
23,1942,271,2024-06-01,17,TV,42,0
24,1407,201,2023-01-20,5,TV,100,1
25,1841,304,2023-07-03,16,Web,52,1
26,21,36,2022-09-02,4,Mobile,146,1
27,342,413,2022-12-11,21,Mobile,100,1
28,1253,92,2024-03-21,11,TV,5,0
29,1082,129,2024-07-13,20,Web,83,1
30,241,280,2022-07-03,15,TV,163,1
31,1437,333,2024-12-21,5,Tablet,102,1
32,118,8,2023-10-03,14,Mobile,43,0
33,1982,291,2024-12-19,16,Mobile,72,0
34,313,79,2024-03-14,8,Mobile,14,0
35,891,478,2022-05-21,13,Mobile,103,1
36,1647,188,2022-03-09,14,Mobile,111,1
37,1029,246,2024-09-24,1,TV,165,1
38,1488,313,2024-02-01,10,TV,86,1
39,1408,79,2024-08-06,17,Mobile,18,0
40,1898,83,2022-01-13,4,Tablet,43,0
41,928,480,2022-06-23,3,Mobile,53,0
42,1958,288,2024-06-07,0,Tablet,26,0
43,1034,114,2024-07-16,16,Mobile,32,0
44,1787,332,2022-11-01,15,Mobile,83,0
